EMPLEADO;ZONARUTA;RAZONSOC;DIRECCION;CODIGOCLI;FECHAMOV;ENTREGAS;DEVOLUCION;FALTANTES;SOBRANTES;VALORUNITA;COBRADO;VALORFEC;VALORCOM;NOMPU;FECHAARC
SANDOCAN MORALES BUITRAGO;ZC001;ABUNDANCIA LA GALLERA;CL 53 #25A 69;ABUGAL01;27/01/11;3;0;0;0;960;0;0;0;LA PATRIA;09/03/11
SANDOCAN MORALES BUITRAGO;ZC001;TIENDA Y REVUELTERIA NEIL;CL 48A #34C 22;TIENEI01;04/01/11;0;0;0;0;960;0;0;0;LA PATRIA;09/03/11
SANDOCAN MORALES BUITRAGO;ZC001;TIENDA Y REVUELTERIA NEIL;CL 48A #34C 22;TIENEI01;05/01/11;0;0;0;0;960;0;0;0;LA PATRIA;09/03/11
SANDOCAN MORALES BUITRAGO;ZC001;TIENDA Y REVUELTERIA NEIL;CL 48A #34C 22;TIENEI01;06/01/11;0;0;0;0;960;0;0;0;LA PATRIA;09/03/11
SANDOCAN MORALES BUITRAGO;ZC001;TIENDA Y REVUELTERIA NEIL;CL 48A #34C 22;TIENEI01;07/01/11;0;0;0;0;960;0;0;0;LA PATRIA;09/03/11
SANDOCAN MORALES BUITRAGO;ZC001;TIENDA Y REVUELTERIA NEIL;CL 48A #34C 22;TIENEI01;08/01/11;0;0;0;0;960;0;0;0;LA PATRIA;09/03/11
SANDOCAN MORALES BUITRAGO;ZC001;TIENDA Y REVUELTERIA NEIL;CL 48A #34C 22;TIENEI01;10/01/11;0;0;0;0;960;0;0;0;LA PATRIA;09/03/11
SANDOCAN MORALES BUITRAGO;ZC001;TIENDA Y REVUELTERIA NEIL;CL 48A #34C 22;TIENEI01;11/01/11;0;0;0;0;960;0;0;0;LA PATRIA;09/03/11
SANDOCAN MORALES BUITRAGO;ZC001;TIENDA Y REVUELTERIA NEIL;CL 48A #34C 22;TIENEI01;12/01/11;0;0;0;0;960;0;0;0;LA PATRIA;09/03/11
SANDOCAN MORALES BUITRAGO;ZC001;TIENDA Y REVUELTERIA NEIL;CL 48A #34C 22;TIENEI01;13/01/11;0;0;0;0;960;0;0;0;LA PATRIA;09/03/11
SANDOCAN MORALES BUITRAGO;ZC001;TIENDA Y REVUELTERIA NEIL;CL 48A #34C 22;TIENEI01;14/01/11;0;0;0;0;960;0;0;0;LA PATRIA;09/03/11
SANDOCAN MORALES BUITRAGO;ZC001;TIENDA Y REVUELTERIA NEIL;CL 48A #34C 22;TIENEI01;15/01/11;0;0;0;0;960;0;0;0;LA PATRIA;09/03/11
SANDOCAN MORALES BUITRAGO;ZC001;TIENDA Y REVUELTERIA NEIL;CL 48A #34C 22;TIENEI01;17/01/11;0;0;0;0;960;0;0;0;LA PATRIA;09/03/11
SANDOCAN MORALES BUITRAGO;ZC001;TIENDA Y REVUELTERIA NEIL;CL 48A #34C 22;TIENEI01;18/01/11;0;0;0;0;960;0;0;0;LA PATRIA;09/03/11
SANDOCAN MORALES BUITRAGO;ZC001;TIENDA Y REVUELTERIA NEIL;CL 48A #34C 22;TIENEI01;19/01/11;0;0;0;0;960;0;0;0;LA PATRIA;09/03/11
SANDOCAN MORALES BUITRAGO;ZC001;TIENDA Y REVUELTERIA NEIL;CL 48A #34C 22;TIENEI01;20/01/11;0;0;0;0;960;0;0;0;LA PATRIA;09/03/11
SANDOCAN MORALES BUITRAGO;ZC001;TIENDA Y REVUELTERIA NEIL;CL 48A #34C 22;TIENEI01;21/01/11;0;0;0;0;960;0;0;0;LA PATRIA;09/03/11
SANDOCAN MORALES BUITRAGO;ZC001;TIENDA Y REVUELTERIA NEIL;CL 48A #34C 22;TIENEI01;22/01/11;0;0;0;0;960;0;0;0;LA PATRIA;09/03/11
SANDOCAN MORALES BUITRAGO;ZC001;TIENDA Y REVUELTERIA NEIL;CL 48A #34C 22;TIENEI01;24/01/11;0;0;0;0;960;0;0;0;LA PATRIA;09/03/11
SANDOCAN MORALES BUITRAGO;ZC001;TIENDA Y REVUELTERIA NEIL;CL 48A #34C 22;TIENEI01;25/01/11;0;0;0;0;960;0;0;0;LA PATRIA;09/03/11
SANDOCAN MORALES BUITRAGO;ZC001;TIENDA Y REVUELTERIA NEIL;CL 48A #34C 22;TIENEI01;26/01/11;0;0;0;0;960;0;0;0;LA PATRIA;09/03/11
SANDOCAN MORALES BUITRAGO;ZC001;TIENDA Y REVUELTERIA NEIL;CL 48A #34C 22;TIENEI01;27/01/11;0;0;0;0;960;0;0;0;LA PATRIA;09/03/11
SANDOCAN MORALES BUITRAGO;ZC001;MISCELANEA SANTIVAN;CL 4A # 21-10 ALCAZARES;MISSAN05;04/01/11;0;0;0;0;960;0;0;0;LA PATRIA;09/03/11
SANDOCAN MORALES BUITRAGO;ZC001;MISCELANEA SANTIVAN;CL 4A # 21-10 ALCAZARES;MISSAN05;05/01/11;0;0;0;0;960;0;0;0;LA PATRIA;09/03/11
SANDOCAN MORALES BUITRAGO;ZC001;MISCELANEA SANTIVAN;CL 4A # 21-10 ALCAZARES;MISSAN05;06/01/11;0;0;0;0;960;0;0;0;LA PATRIA;09/03/11
